datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
,0.0,100000.0,0.0,100000.0,,,
2015-05-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-05-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-06-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
